cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
MEN1RGB	MEN1RGB	RCB:0410	X	"11,12"	"8,9"	10	0	0	0	0	0	"10,12"	"8,10"	0	0	0	9	8	"14,15"
																			
CESS	CESS	ATCC:TIB-190	"X,Y"	"10,11"	12	12	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"7,9.3"	"8,9"	"16,17"
																			
MM383	0	0	"X,Y"	11	"8,12"	"9,12"	23	15.2	"29,31"	"16,19"	17	"11,12"	"10,11"	"13,14"	24	0	6	"8,11"	"17,18"
																			
Hs 13.Sk	Hs 13.Sk	ATCC:CRL-7011	X	12	12	"9,11"	0	0	0	0	0	"11,13"	11	0	0	0	"7,8"	"6,8"	"16,22"
																			
NCI-H735	NCI-H735	ATCC:CRL-5978	X	"12,14"	"11,14"	14	0	0	0	0	0	"9,11"	"8,11"	0	0	0	"8,9.3"	11	"18,19"
																			
U-2197	U-2197	DSM:ACC-406	X	"10,11"	13	"10,13"	0	0	0	0	0	"11,12"	"9,10"	0	0	0	"6,9.3"	"10,11"	"17,18"
																			
B-CPAP	B-CPAP	GNE:586852	X	"13,13"	"12,12"	"11,12"	"13,17"	"13.2,15"	"30,31.2"	"18,18"	"16,17"	"10,11"	"10,10"	"12,13"	"20,23"	E	"6,9.3"	"8,11"	"14,17"
																			
HC-1	HC-1	DSM:ACC-301	"X,Y"	"11,12"	"11,12"	"10,11"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"9,9.3"	8	"15,18"
																			
CAMA-1	CAMA-1	GNE:131438	X	"10,12"	12	11	"14,15"	0	32.2	0	18	"12,13"	"8,11"	"12,13"	"19,25"	E	"8,9.3"	8	15
																			
KATO III	KATO III	ATCC:HTB-103	X	"7,11"	"8,12"	"10,12"	0	0	0	0	0	"10,11"	"8,12"	0	0	0	"7,9"	11	"14,16"
																			
RPMI 8226	RPMI 8226	ATCC:CCL-155	"X,Y"	12	11	9	"15,19"	0	"28,29"	0	"16,17"	"11,13"	"9,10"	13	19	E	8	"8,11"	"16,18"
																			
SF8650	SF8650	RCB:0602	X	12	"8,10"	9	0	0	0	0	0	10	"9,12"	0	0	0	9	"8,9"	"16,19"
																			
M14	0	0	X	11	12	"9,13"	"13,17"	"14,15"	30	"19,24"	"14,16"	"11,12"	"8,10"	13	21	0	"6,7"	"8,11"	"16,18"
																			
SK-ES-1	SK-ES-1	ATCC:HTB-86	"X,Y"	11	"8,9"	11	0	0	0	0	0	12	"10,11"	0	0	0	"6,9.3"	8	"14,17"
																			
KNS-81	KNS-81	GNE:586906	"X,Y"	"9,12"	9	"10,12"	"13,19"	"13.2,14"	"29,30"	"22,23"	"14,16"	"9,12"	11	"11,17"	"20,22"	E	"7,9"	"8,11"	"17,18"
																			
ES06	0	0	X	"10,11"	"10,11"	12	0	0	0	0	0	"10,12"	"8,9"	0	0	0	"7,10"	8	17
																			
AML14.3D10	AML14.3D10/CCCKR3 Clone 16	ATCC:CRL-12079	"X,Y"	13	12	"9,12"	0	0	0	0	0	"10,11"	"10,14"	0	0	0	"9,9.3"	"9,11"	"18,19"
																			
GS-HepG2	Hep G2	RCB:1681	"X,Y"	"10,11"	"9,13"	12	0	0	0	0	0	"11,12"	10	0	0	0	9	"8,9"	17
																			
MUTZ-3	MUTZ-3	DSM:ACC-295	"X,Y"	"12,13"	"8,12"	12	0	0	0	0	0	"12,13"	"10,12"	0	0	0	"6,9.3"	"8,11"	"14,16"
																			
RVH-421	RVH-421	GNE:586650	"X,Y"	"10,12"	11	"9,11"	"15,16"	"14,16"	30	"19,25"	"16,17"	"10,14"	"7,10"	"13,14"	"21,22"	E	9.3	8	"14,17"
																			
OE19	OE19	GNE:586660	X	"11,13"	"9,11"	"12,13"	12	13	30	"18,19"	"15,18"	"11,14"	8	"13,15"	"23,26"	E	"8,9"	8	"16,17,18"
																			
a623	0	JCRB:PSCCA0623	"X,Y"	"10,11,12"	"10,13"	"8,11,12"	0	0	0	0	0	"10,12,13"	"10,12"	0	0	0	"6,7,9"	"8,13"	"16,18,19"
																			
SBC-3	SBC-3	JCRB:0818	"X,Y"	"10,12"	"11,12"	9	0	0	0	0	0	"12,13"	"12,13"	0	0	0	"6,7"	"8,11"	18
																			
OCI-LY7	OCI-LY-7	DSM:ACC-688	"X,Y"	"12,13"	"11,12"	"12,13"	0	0	0	0	0	"11,12"	10	0	0	0	"6,9,3"	"8,12"	"15,18"
																			
NCI-H1717	NCI-H1717	ATCC:CRL-5890	X	12	11	12	0	0	0	0	0	13	"8,9"	0	0	0	9	8	"15,19"
																			
HO-1-u-1	HO-1-u-1	JCRB:0828	"X,Y"	10	9	12	0	0	0	0	0	10	"9,10"	0	0	0	9	10	"17,19"
																			
NCR-G4	NCR-G4	JCRB:1175	"X,Y"	"10,12"	"8,13"	"10,14"	0	0	0	0	0	"11,12"	10	0	0	0	7	"8,9"	16
																			
Hs 791.Sk	Hs 791.Sk	ATCC:CRL-7519	"X,Y"	"10,13"	"11,13"	"9,13"	0	0	0	0	0	"10,12"	"9,11"	0	0	0	"7,9.3"	"8,11"	"16,17"
																			
LAN-5	0	DSM:ACC-673	"X,Y"	"10,11"	"9,12"	9	0	0	0	0	0	11	10	0	0	0	"6,9,3"	8	"15,16"
																			
Hs 566(B).T	Hs 566(B).T	ATCC:CRL-7336	X	"12,13"	"12,13"	12	0	0	0	0	0	"9,13"	"8,12"	0	0	0	6	"8,11"	16
																			
NCR-G3	NCR-G3	JCRB:1168	"X,Y"	"9,12"	11	13	0	0	0	0	0	12	"11,13"	0	0	0	6	8	"16,19"
																			
NCI-H2126	NCI-H2126	GNE:129260	X	11	"12,14"	12	14	0	29	0	16	11	9	12	26	E	"7,9.3"	8	17
																			
TL-1	TL-1	RCB:1871	"X,Y"	"10,12"	"8,11"	12	0	0	0	0	0	"10,12"	"10,12"	0	0	0	"6,7"	"9,11"	"14,19"
																			
RTSG	RTSG	JCRB:IFO50318	X	"11,13"	"8,9,12"	"12,13,14"	0	0	0	0	0	"6,12"	"9,11,12"	0	0	0	9	11	"15,16,17"
																			
Hs 854.Sk	Hs 854.Sk	ATCC:CRL-7589	X	"11,12"	11	"9,11"	0	0	0	0	0	"11,12"	8	0	0	0	9.3	"9,11"	14
																			
SSP-25	SSP-25	RCB:1293	X	12	12	"10,12"	0	0	0	0	0	10	11	0	0	0	"7,9.3"	8	"14,17"
																			
Hs68	0	ATCC:CRL-1635	"X,Y"	"9,12"	"11,13"	"11,12"	0	0	0	0	0	"8,11"	"11,12"	0	0	0	"6,9.3"	11	16
																			
OVMIU	OVMIU	JCRB:1049	X	12	"8,11"	"9,10"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	7	"9,11"	"17,18"
																			
SF8759	SF8759	RCB:0587	X	"10,12"	"11,12"	9	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"6,9"	"8,9"	"14,18"
																			
MRC-5	MRC-5	GNE:586243	"X,Y"	"11,12"	"11,14"	"9,11"	"15,21"	0	31.2	0	"15,17"	"11,12"	"10,11"	13	"21,23"	E	8	8	15
																			
OVCA 420	OVCA 420	GNE:586004	X	8	"12,13"	"9,12"	"14,17"	0	30.2	0	"16,17"	13	"8,11"	"14,15"	"21,22"	E	6	8	"16,18"
																			
NMB	NMB	DSM:ACC-657	X	"11,12"	"11,12"	"9,13"	0	0	0	0	0	11	10	0	0	0	"7,8"	"7,9"	"17,18,20"
																			
NKM-1	NKM-1	JCRB:IFO50476	X	10	"11,13"	"9,12"	0	0	0	0	0	"10,12"	"10,11"	0	0	0	"6,9"	"9,11"	17
																			
NAMALWA.KN2	NAMALWA	DSM:ACC-68	X	"10,11"	12	9	0	0	0	0	0	"12,13"	11	0	0	0	"7,9.3"	"6,11"	14
																			
UCB302MSCs	UCB302MSCs	JCRB:1106	"X,Y"	"9,12"	"10,12"	11	0	0	0	0	0	"12,14"	10	0	0	0	"7,9.3"	8	"16,17"
																			
LIM 2099	0	0	"X,Y"	11	8	11	"12,15"	"13.2,14"	"29,30"	"24,25"	15	11	13	"10,13"	"19,25"	0	9	8	19
																			
PMC2	PMC2	ATCC:CRL-9852	"X,Y"	"10,12"	"12,14"	"12,13"	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"6,7"	8	"18,19"
																			
LCLC-97TM1	LCLC-97TM1	GNE:586340	X	"10,11"	"11,13"	"12,13"	16	0	"27,30"	0	15	"10,12"	"10,10.2,11"	14	23	E	8	"8,11"	"19,20"
																			
BS-SHI-4M	BS-SHI-4M	RCB:1752	"X,Y"	11	"10,11"	"10,13"	0	0	0	0	0	"10,11"	"8,10"	0	0	0	"6,9"	8	14
																			
NZOV9	0	0	X	"9,11"	"12,13"	"12,13"	"14,18"	14	"28,30"	"21,22"	"15,18"	"12,13"	"10,11"	13	"22,24"	0	"6,7"	"8,11"	18
																			
Dch4F	0	JCRB:3004	"X,Y"	"11,12"	"8,10"	"9,10"	0	0	0	0	0	"11,12"	"8,11"	0	0	0	6	"9,11"	"14,18"
																			
Lu-135	Lu-135	JCRB:0170	"X,Y"	10	7	11	0	0	0	0	0	13	11	0	0	0	9	11	16
																			
HSQ-89	HSQ-89	RCB:0789	"X,Y"	12	8	"11,12"	0	0	0	0	0	12	"12,13"	0	0	0	"7,9.3"	"11,12"	"14,20"
																			
Hs 605.Sk	Hs 605.Sk	ATCC:CRL-7364	X	"12,14"	"9,12"	"10,11"	0	0	0	0	0	"11,13"	"10,11"	0	0	0	"6,9.3"	8	"15,18"
																			
HE18	HE18	RCB:2238	X	"10,13"	8	"9,12"	0	0	0	0	0	12	"11,12"	0	0	0	"7,9"	"8,11"	"17,19"
																			
ARPE-19	ARPE-19	ATCC:CRL-2302	"X,Y"	11	"11,12"	"9,11"	0	0	0	0	0	13	"9,11"	0	0	0	"6,9.3"	"9,11"	"16,19"
																			
RPTEC/TERT1	0	ATCC:CRL-4031	"X,Y"	11	"11,13"	"11,12"	0	0	0	0	0	"9,11"	10	0	0	0	"9,9.3"	"8,11"	"16,18"
																			
SK-GT-4	0	DSM:ACC-712	X	"11,15"	"9,10"	"12,13,11"	0	0	0	0	0	12	"7,11"	0	0	0	"6,9,3"	"8,10"	"17,19"
																			
HE53	HE53	RCB:2269	"X,Y"	"11,12"	"8,13"	"9,10"	0	0	0	0	0	"9,10"	"10,12"	0	0	0	"6,9"	"8,11"	"16,17"
																			
HCC1054	HCC1054	GNE:587160	X	12	12	"11,12"	12	0	33.2	0	15	12	"8,11"	"10,14"	20	E	9.3	8	"16,17"
																			
GOS-3	GOS-3	GNE:586853	"X,Y"	"10,12"	"9,13"	"9,12"	23	"13,14"	"31,33.2"	"22,24"	"15,17"	"12,13"	"9,11"	"13,14"	"19,20"	E	"6,9.3"	"8,9"	"17,18"
																			
SKW-3	SKW-3	DSM:ACC-53	"X,Y"	"10,12"	"8,12"	"11,12"	0	0	0	0	0	"12,13"	"8,12"	0	0	0	"6,9.3"	8	"17,18"
																			
HCC50	0	JCRB:0184	X	"9,13"	11	"11,13"	0	0	0	0	0	12	11	0	0	0	9	"8,11"	"16,17,18"
																			
FTC-133	FTC-133	GNE:586794	X	10	11	11	"11,12"	"12,13"	32.2	20	15	12	10	10	21	E	"6.1,9.3"	9	"15,18"
																			
Hs 2.We	Hs 2.We	ATCC:CRL-7003	"X,Y"	"10,12"	11	13	0	0	0	0	0	"12,13"	"8,9"	0	0	0	"9,9.3"	8	"16,18"
																			
NCI-H187	NCI-H187	GNE:586013	X	11	12	11	16	0	"28,29"	0	14	12	"9,10"	14	25	E	9.3	8	"16,17"
																			
HuCCT1	HuCCT1	GNE:586878	"X,Y"	"11,12"	"11,13"	"9,11,12"	13	13	31	"17,18"	15	"12,13"	"10,11"	10	"20,23"	E	"7,10"	8	18
																			
OCI-LY-3	OCI-LY-3	GNE:587170	"X,Y"	"11,13"	"11,13"	10	"18,19"	0	"28,30"	0	"14,17"	11	"11,12"	"12,13"	"21,25"	E	7	"6,11"	"15,17"
																			
CCD-1098Sk	CCD-1098Sk	ATCC:CRL-2127	"X,Y"	11	"8,11"	"9,13"	0	0	0	0	0	"9,12"	"9,10"	0	0	0	"6,9"	"10,11"	"16,18"
																			
WPMY-1	RWPE-1	ATCC:CRL-2854	"X,Y"	13	"8,14"	9	0	0	0	0	0	"12,15"	"10,11"	0	0	0	"8,9.3"	"8,11"	"14,18"
																			
TE-1	TE-1	RCB:1894	X	"10,12"	10	12	0	0	0	0	0	11	"10,11"	0	0	0	7	"8,11"	"17,18"
																			
Panc 02.03	Panc 02.03	GNE:586241	X	"11,12"	12	11	14	0	"28,31"	0	14	"12,13"	"9,10"	"11,12"	"20,21"	E	6	"9,12"	17
																			
CAL-120	CAL-120	GNE:130224	X	12	12	12	12	0	30	0	18	13	12	"12,13"	21	E	6	9	18
																			
NCC-StC-K140	NCC-StC-K140	RCB:2224	X	10	12	12	0	0	0	0	0	9	12	0	0	0	"7,9"	"8,11"	14
																			
LNCAP	LNCAP	GNE:583677	"X,Y"	"10,11"	"10,12"	11	"11,12"	0	"28,29,31.2"	0	16	"11,12,13"	"8.1,9.1,10.3"	"12,14"	"19,20"	E	9	"8,9"	"16,18"
																			
OS-RC-2	OS-RC-2	RCB:0735	"X,Y"	"12,13"	"8,12"	11	0	0	0	0	0	"11,12"	"10,11"	0	0	0	6	"8,11"	16
																			
NCI-H719	NCI-H719	ATCC:CRL-5837	X	"10,11"	12	9	0	0	0	0	0	13	10	0	0	0	"8,9"	"8,11"	"16,18"
																			
SF8656	SF8656	RCB:0597	X	10	10	"11,13"	0	0	0	0	0	"10,13"	12	0	0	0	6	"8,11"	"17,18"
																			
HCC 2218 BL	0	ATCC:CRL-2363	X	11	"11,12"	"9,13"	0	0	0	0	0	11	"10,14"	0	0	0	"8,9.3"	"8,11"	"14,18"
																			
NO36	0	0	"X,Y"	"11,12"	8	"11,13"	"21,22"	"15,16"	"28,29"	25	"15,16"	"12,13"	11	12	22	0	"6,7"	"8,11"	"16,18"
																			
HP75	0	ATCC:CRL-2506	"X,Y"	"8,12"	"10,11"	"11,12"	0	0	0	0	0	"10,11"	"7,8"	0	0	0	8	"10,11"	"17,18"
																			
NCI-H526	NCI-H526	GNE:586376	"X,Y"	11	13	9	"12,15"	0	"27,32.2"	0	17	11	"9,12"	14	22	E	"6,8"	"8,11"	"16,17"
																			
CA46	CA46	GNE:586294	X	"10,12"	"8,12"	"11,12"	"13,16"	0	"28,29"	0	"16,18"	13	"11,12"	15	"19,23"	E	"7,9"	"8,9"	"15,16"
																			
BONNA-12	BONNA-12	DSM:ACC-150	X	"11,12"	"11,14"	"11,12"	0	0	0	0	0	"9,14"	"8,10"	0	0	0	9.3	8	"16,17"
																			
SRA 01/04	SRA 01/04	RCB:1591	"X,Y"	"11,13,15"	10	10	0	0	0	0	0	"11,12,13"	"10,11,13"	0	0	0	"6,7"	8	"17,20"
																			
CCD-1123Sk	CCD-1123Sk	ATCC:CRL-2524	X	"11,12"	11	"11,12"	0	0	0	0	0	"11,12"	"9,10"	0	0	0	"8,9.3"	"9,12"	"16,18"
																			
HE32	HE32	RCB:2249	X	"11,12"	"10,11"	"10,13"	0	0	0	0	0	"10,13"	"11,12"	0	0	0	6	"8,11"	"17,18"
																			
Hs 571.T	Hs 571.T	ATCC:CRL-7846	X	10	"10,11"	"11,12"	0	0	0	0	0	11	"8,9"	0	0	0	"6,9.3"	"8,11"	18
																			
NCC-RbC-54	NCC-RbC-54	RCB:2208	X	"11,12"	11	11	0	0	0	0	0	"9,14"	"9,12"	0	0	0	"7,9"	"8,11"	16
																			
Hs 413.We	Hs 413.We	ATCC:CRL-7286	"X,Y"	"10,11"	12	"9,11"	0	0	0	0	0	"9,11"	"8,9"	0	0	0	7	"9,10"	"16,18"
																			
NCI-H596	NCI-H596	GNE:129459	X	"12,13"	11	11	18	0	29	0	14	"11,13"	11	"13,14"	"23,25"	E	"7,9.3"	8	16
																			
JHUS-nk1	JHUS-nk1	RCB:1558	X	11	11	"9,10"	0	0	0	0	0	9	"10,13"	0	0	0	7	"8,12"	"16,18"
																			
LI90	LI90	JCRB:0160	X	"9,12"	"11,12"	"9,10"	0	0	0	0	0	"11,13"	"10,11"	0	0	0	9	"8,11"	"16,17"
																			
S-117	S-117	GNE:586883	X	13	12	11	11	14	30	24	18	11	11	15	22	E	6	8	14
																			
HL-60	HL-60	JCRB:IFO50022	X	"13,14"	"8,11"	11	"14,15"	0	"29,30"	0	16	12	"11,12"	"12,13"	"22,24"	E	8	"8,11"	16
																			
KYSE170	KYSE-170	JCRB:1082	X	"10,12,13"	9	"9,10"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"7,9"	11	"16,17"
																			
A704 [A-704]	A-704	ATCC:CRL-7911	"X,Y"	"7,8"	8	"12,13"	0	0	0	0	0	"10,11"	10	0	0	0	"7,9"	11	"14,18"
																			
Becker	Becker	JCRB:IFO50289	"X,Y"	"12,13"	9	"10,14"	0	0	0	0	0	12	11	0	0	0	"8,9"	"8,11"	"16,17"
																			
WA07	0	0	X	12	"11,12"	"12,13"	0	0	0	0	0	"11,13"	"10,11"	0	0	0	6	"8,11"	"14,15"
																			
A-431	A-431	GNE:583906	X	"11,12"	"9,13"	"12,14"	"13,17"	0	28	0	14	"12,13"	10	13	20	E	9	11	"15,17"
																			
NCE 16IIA	NCE 16IIA	JCRB:1090	X	"11,12"	"11,12"	"11,12"	0	0	0	0	0	12	"8,11"	0	0	0	7	"9,12"	"16,18"
																			
Hs 173.Sp	Hs 173.Sp	ATCC:CRL-7123	"X,Y"	"10,11"	12	"9,12"	0	0	0	0	0	"10,12"	"8,11"	0	0	0	"7,8"	"8,9"	"15,16"
																			
P116	Jurkat	ATCC:CRL-2676	X	"11,12"	"8,12"	11	0	0	0	0	0	9	"8,11.3"	0	0	0	"6,9.3"	"8,10"	"18,19"
																			
KMRC-2	KMRC-2	GNE:586875	X	"11,13"	12	"9,11"	"13,16"	"13.2,14"	29	"18,23"	15	"11,14"	"10,11"	"14,15"	"23,24"	E	"7,9"	8	"14,18"
																			
Yub633	Yub633	JCRB:1158	X	"10,12"	"8,9"	"9,12"	0	0	0	0	0	11	"10,12"	0	0	0	6	"8,11"	"14,17"
																			
MH7A	MH7A	RCB:1512	X	"12,14"	8	"10,11"	0	0	0	0	0	12	10	0	0	0	"6,9"	8	"15,17"
																			
TMD5	TMD5	JCRB:IFO50516	"X,Y"	"10,13"	8	"10,12"	0	0	0	0	0	"9,13"	"10,11"	0	0	0	9	8	"17,18"
																			
COLO 684	COLO 684	GNE:586811	X	11	12	12	"13,15"	"14,15"	"27,31.2"	"18,22"	"14,17"	"12,13"	"11,13"	"11,12"	"19,20,23"	E	"7,9.3"	"7,8"	"14,15,16"
																			
LNZTA3WT4	LNZTA3WT4	ATCC:CRL-11543	"X,Y"	"11,12"	11	"9,12"	0	0	0	0	0	12	"10,12"	0	0	0	9.3	"8,9"	"15,17"
																			
EPLC-32M1	0	ATCC:CRL-2182	X	"9,10"	"13.3,14.3"	"9,10"	0	0	0	0	0	"11,12"	"8,12"	0	0	0	7	"8,12,13"	"17,18"
																			
ES01	0	0	X	12	8	11	0	0	0	0	0	"12,13"	"11,12"	0	0	0	9	"8,12"	17
																			
H-EMC-SS	H-EMC-SS	RCB:0508	X	"10,12"	9	"9,13"	0	0	0	0	0	"10,12"	"8,11"	0	0	0	"7,9"	8	"14,17"
																			
SNU-182	SNU-182	GNE:586217	"X,Y"	"10,12"	"11,14"	"11,13"	16	0	"29,34.2"	0	"16,18"	"11,12"	11	10	"22,24"	E	9	"8,11"	17
																			
Hs 733.Sk	Hs 733.Sk	ATCC:CRL-7469	"X,Y"	12	"11,12"	"13,14"	0	0	0	0	0	"12,13"	"11,12"	0	0	0	7	"9,11"	"14,16"
																			
HEC-251	HEC-251	GNE:586945	X	"9,11"	11	9	"13,20"	"14,15"	"30,31.2"	"16,19"	"15,16"	"9,12"	11	"10,13"	"20,21"	E	7	"8,11"	14
																			
MM426	0	0	"X,Y"	"10,12"	"8,11"	"11,13"	"15,18"	"14,15"	"28,30"	21	17	"9,12"	"8,11"	"10,16"	23	0	"8,9"	8	15
																			
HE29	HE29	RCB:2246	X	"10,13"	8	11	0	0	0	0	0	"9,11"	11	0	0	0	"9,9.3"	"8,9"	"14,17"
																			
NUGC-2	NUGC-2	JCRB:0821	X	"10,12"	"8,11"	"7,12"	21	0	29	0	"15,16"	"10,12"	11	13	21	E	7	11	"17,18"
																			
KMRC-21	0	0	"X,Y"	"11,12"	10	"9,13"	0	0	0	0	0	"11,13"	"10,11"	0	0	0	"7,9.3"	11	"15,20"
																			
SNU-1	SNU-1	ATCC:CRL-5971	"X,Y"	"12,13"	"11,14"	"9,12"	0	0	0	0	0	"12,13"	"9,12"	0	0	0	"8,9.3"	"8,10"	14
																			
SF8543	SF8543	RCB:0608	X	"11,13"	"8,11"	"9,11"	0	0	0	0	0	"10,11,12"	"11,12"	0	0	0	"7,9"	8	"16,17,19"
																			
PL532	PL532	JCRB:1219	"X,Y"	12	"11,12"	"9,12"	0	0	0	0	0	11	"8,10"	0	0	0	9	"8,11"	"17,18"
																			
Yub632	Yub632	JCRB:1157	"X,Y"	12	"8,10"	"9,11"	0	0	0	0	0	"10,11"	"8,10"	0	0	0	"6,9"	"7,8"	"18,19"
																			
Hs 284.Pe	Hs 284.Pe	ATCC:CRL-7228	"X,Y"	"10,13"	11	11	0	0	0	0	0	"9,11"	11	0	0	0	"7,9"	"8,11"	"16,18"
																			
CCD-919Sk	0	ATCC:CRL-1826	X	11	"12,14"	12	0	0	0	0	0	"10,11"	"7,11"	0	0	0	9	"8,9"	"16,17"
																			
SK-PN-DW	SK-PN-DW	ATCC:CRL-2139	X	12	9	12	0	0	0	0	0	"13,14"	"8,14"	0	0	0	6	"8,9"	16
																			
UT-7	UT-7	GNE:586628	"X,Y"	12	8	"10,12"	"14,17"	0	31.2	0	16	12	8	"11,15"	23	E	"6,9"	10	"14,18"
																			
P31/FUJ	P31/FUJ	JCRB:0091	"X,Y"	"13,14"	"9,12,13"	"9,10"	0	0	0	0	0	11	10	0	0	0	9	"7,11"	"19,21"
																			
Panc 01.28	0	ATCC:CRL-2548	X	11	"8,11"	"11,12"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	"6,9.3"	"9,11"	"16,17"
																			
Hs 143.We	Hs 143.We	ATCC:CRL-7092	X	"12,13"	11	"9,12"	0	0	0	0	0	10	8	0	0	0	"9,9.3"	"8,9"	"15,17"
																			
5637	5637	ATCC:HTB-9	"X,Y"	11	11	9	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"7,9"	"8,9"	"16,18"
																			
UBE6T-15	UBE6T-15	JCRB:1159	X	"11,12"	8	"11,12"	0	0	0	0	0	"10,13"	"8,11"	0	0	0	9	"9,11"	"17,18"
																			
KYSE200	0	JCRB:1085	"X,Y"	10	8	9	0	0	0	0	0	"10,13"	"9,11"	0	0	0	"9,10"	8	"18,19"
																			
CCD-1141Sk	CCD-1141Sk	ATCC:CRL-2796	"X,Y"	"8,12"	"11,12"	"11,13"	0	0	0	0	0	11	"8,12"	0	0	0	6	8	"16,18"
																			
ML14	0	0	"X,Y"	11	"11,12,13"	13	"13,17"	"14,15"	30	"19,24"	"14,16"	"11,12"	"8,10"	"13,14"	"21,25,26"	0	"6,7"	"8,11"	"16,18"
																			
HeLa S3	HeLa	JCRB:9010	X	"9,10"	"13.3,13.3"	"9,10"	0	0	0	0	0	"11,12"	8	0	0	0	7	"8,12"	"16,17,18"
																			
NCI-H2110	NCI-H2110	GNE:586165	X	12	12	11	16	0	30	0	16	12	"8,11"	14	"22,24"	E	9	"8,11"	"15,17"
																			
HCC2374	HCC2374	GNE:587078	X	7	14	11	18	"13,15"	"28,30"	"22,24"	16	10	"10,11"	14	18.2	E	8	"8,9"	"17,19"
																			
DMS 79	DMS 79	GNE:586136	"X,Y"	10	11	12	"14,17"	0	30	0	18	10	"9,11"	"12,14"	21	E	8	8	18
																			
Lu Rob	Lu Rob	ATCC:CRL-1397	X	"10,12"	"9,12"	12	0	0	0	0	0	"11,12"	"9,10"	0	0	0	9.3	"9,12"	"15,16"
																			
SiHa	SiHa	GNE:586207	X	12	11	12	15	0	"29,31"	0	"16,17"	9	10	"13,16"	21	E	"6,9"	8	"14,17"
																			
WM35	WM35	ATCC:CRL-2807	X	10	11	"12,13"	0	0	0	0	0	"11,12"	"10,13"	0	0	0	9.3	8	17
																			
Caki-1	Caki-1	GNE:586083	X	"10,11"	"11,12"	12	14	0	"28,30"	0	17	"11,12"	"8,12"	"12,14"	26	E	"6,8"	"8,11"	"15,17"
																			
AML-193	AML-193	ATCC:CRL-9589	X	"11,12"	12	12	0	0	0	0	0	"9,13"	"9,12"	0	0	0	"7,9"	"8,9"	"15,17"
																			
NCI-H2059	NCI-H2059	ATCC:CRL-5916	X	11	14	8	0	0	0	0	0	12	"10,12"	0	0	0	8	"8,9"	19
																			
HCC2108	HCC2108	GNE:587076	X	11	11	12	16	13	"28,30"	19	15	"11,13"	"9,11"	"12,13"	22	E	9	"10,11"	16
																			
CADO-ES1	CADO-ES1	DSM:ACC-255	X	"11,12"	"10,13"	"9,11"	0	0	0	0	0	"11,12"	"11,13"	0	0	0	"6,9"	"8,11"	"14,18"
																			
SW 1271	SW 1271	GNE:586642	X	11	13	"11,12"	14	0	"29,31.2"	0	15	12	"9,12"	"13,16"	20	E	"7,8"	8	"17,20"
																			
UCB408E6E7-31	UCB408E6E7-31	JCRB:1108	"X,Y"	11	"9,11"	"9,10"	0	0	0	0	0	"9,13"	"8,10"	0	0	0	"7,9"	"9,11"	"17,18"
																			
DMS 153	DMS 153	ATCC:CRL-2064	X	10	13	"12,13"	"16,17"	0	"26.2,30"	0	"14,17"	12	"8,10"	"12,14"	21	E	"7,9.3"	11	"14,15"
																			
SK-MEL-2	SK-MEL-2	GNE:586020	"X,Y"	"10,12"	11	"8,9"	"15,16"	0	"29,30"	0	"14,16"	"12,13"	"11,12"	"12,13"	"19,25"	E	9	"8,9"	17
																			
Hs 415.Sk	Hs 415.Sk	ATCC:CRL-7288	"X,Y"	"10,11"	"9,12"	"11,12"	0	0	0	0	0	11	"9,10"	0	0	0	"6,9"	"8,9"	"15,18"
																			
NCI-H358	NCI-H358	GNE:129179	"X,Y"	"11,12"	"8,12"	"12,13"	14	0	"28,30"	0	"14,18"	"10,12"	"10,11"	"13,14"	"20,21"	E	6	"8,9"	17
																			
ECC10	ECC10	RCB:0983	X	"12,13"	11	11	0	0	0	0	0	12	"10,12"	0	0	0	7	11	19
																			
NCC-RbC-53	0	JCRB:1200	X	"11,12"	9	10	0	0	0	0	0	"11,12"	"8,11"	0	0	0	9	8	18
																			
Hs 871.Sk	Hs 871.Sk	ATCC:CRL-7608	"X,Y"	"11,12"	12	"11,12"	0	0	0	0	0	11	"9,10"	0	0	0	"7,9.3"	8	"17,20"
																			
BeWo	BeWo	ATCC:CCL-98	"X,Y"	"11,12"	"9,11"	"13,14"	0	0	0	0	0	"10,11"	"10,12"	0	0	0	"9,9.3"	8	16
																			
OMC-2	OMC-2	RCB:2830	X	"9,12"	11	11	0	0	0	0	0	"11,12"	"8,10"	0	0	0	7	"9,12"	15
																			
HOUA-I	HOUA-I	RCB:0659	X	"14,15"	"13,14,15"	"9,13,14"	0	0	0	0	0	"12,14,15"	"10,11,12"	0	0	0	"6,9"	"8,9"	"18,19,20"
																			
MB-1	MB-1	DSM:ACC-638	X	11	11	11	0	0	0	0	0	10	9	0	0	0	9	11	14
																			
