cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
Hs 156.T	Hs 156.T	ATCC:CRL-7102	"X,Y"	"11,12"	"12,14"	12	0	0	0	0	0	"11,12"	"8,10"	0	0	0	7	11	"16,17"
																			
WSU-NHL	WSU-NHL	GNE:586984	X	"11,13"	"8,10,11"	"10,11,12"	15	"13,14,15,15.2"	"26,30,31,31.2,32.2"	"17,23"	"14,15"	"10,11,12"	"10,12"	"9,12,13,14"	"19,20"	E	9	"8,9,10,11"	"16,17,19"
																			
RPMI4788	0	JCRB:1309	X	"9,10"	"13.3,13.3"	10	0	0	0	0	0	"11,12"	"8,12"	0	0	0	7	"8,12"	"16,18"
																			
SK-NEP-1	SK-NEP-1	ATCC:HTB-48	X	10	11	11	0	0	0	0	0	13	"8,10"	0	0	0	"8,9.3"	"8,11"	"15,19"
																			
NCI-H1437	NCI-H1437	GNE:129264	X	"11,12"	12	"11,12"	19	0	29	0	16	"11,14"	"8,11"	"11,13"	22	E	6	"9,10"	18
																			
Hs 680.Li	0	ATCC:CRL-7416	X	"11,12"	"11,14"	"9,11"	0	0	0	0	0	12	"9,10"	0	0	0	6	8	"14,17"
																			
CCD-1131Sk	CCD-1131Sk	ATCC:CRL-2617	X	"11,12"	"12,13"	"9,10"	0	0	0	0	0	"8,12"	"8,13"	0	0	0	"7,9"	"8,11"	"17,19"
																			
glomotel	glomotel	ATCC:CRL-2597	"X,Y"	"10,11"	"10,12"	"11,13"	0	0	0	0	0	"11,13"	11	0	0	0	"5,9.3"	"8,11"	"14,17"
																			
QG-U	QG-U	RCB:0688	X	"11,13"	"11,12"	"9,11"	0	0	0	0	0	11	"11,12"	0	0	0	"6,9"	"8,10"	"16,19"
																			
HTST	HTST	RCB:0967	X	"10,12"	"7,12"	"9,10"	0	0	0	0	0	"10,12"	12	0	0	0	9	11	"16,18"
																			
hTERT BJ	hTERT BJ	GNE:133566	"X,Y"	"10,12"	"8,9"	"9,13"	"17,19"	0	29	0	"14,16"	12	"11,12"	"9,11"	"22,23"	E	"7,8"	"10,11"	"16,18"
																			
NALM-6	NALM-6	RCB:1933	"X,Y"	13	"9,13"	"10,11"	"12,15"	0	"28,29"	0	"16,17"	"11,12"	"8,11"	"11,13,14"	22	E	"8,9"	"8,10"	"15,16"
																			
MOG-G-UVW	MOG-G-UVW	GNE:586822	"X,Y"	"10,11"	11	13	"14,15"	14	"30,30.2"	"21,24"	15	"11,12"	"9,12"	"13,15"	"23,24"	E	6	"8,9"	"15,17"
																			
JAR	JAR	ATCC:HTB-144	"X,Y"	"7,10"	11	"9,10"	0	0	0	0	0	"10,11"	"10,11"	0	0	0	"6,7"	"8,11"	"16,18"
																			
U-251 MG (KO)	U-251 MG	JCRB:IFO50285	X	"11,12"	"10,11"	12	0	0	0	0	0	11	"10,12"	0	0	0	9.3	8	"16,18"
																			
PLC/PRF/5	Alexander	ATCC:CRL-8024	X	10	"11,12"	13	17	0	"30,33.2"	0	15	12	"9,11"	"13,16"	"19.2,25"	E	8	8	"15,16"
																			
A4/Fuk	A4/Fuk	GNE:586985	X	"11,13"	"9,12"	"9,12"	"14,17"	"14,15.2"	"28,29"	"19,20"	"15,16"	12	"8,11"	"14,16"	19	E	"7,9"	11	"18,19,20"
																			
CAL-12T	CAL-12T	GNE:586335	X	13	11	10	15	0	"29,30"	0	17	12	"10,11"	15	"23,24"	E	6	8	16
																			
G84	G84	GNE:132488	X	"11,13"	12	11	19	0	29	0	16	"11,13"	12	"13,14"	21	E	9.3	8	17
																			
SW 1417	SW 1417	ATCC:CCL-238	X	12	"10,12"	"11,12"	15	0	"29,32.2,33.2"	0	"15,16"	12	"9,11"	8	23	E	"6,8"	"8,11"	"15,18"
																			
